ID,Comment,Comment_Text,Comment_Code,Creation_Date,Author_ID,Issue_ID
1,Comment 1,Detailed text for comment 1,CODE_ZOXVZ,2024-04-08 10:24:30,56,68
2,Comment 2,Detailed text for comment 2,CODE_0P277,2023-12-09 14:20:05,3,21
3,Comment 3,Detailed text for comment 3,CODE_E9U2G,2025-07-30 23:15:45,93,99
4,Comment 4,Detailed text for comment 4,CODE_5GNX1,2021-07-23 21:01:14,75,56
5,Comment 5,Detailed text for comment 5,CODE_US43S,2025-01-01 22:01:42,22,46
6,Comment 6,Detailed text for comment 6,CODE_326DH,2021-12-28 00:55:01,1,35
7,Comment 7,Detailed text for comment 7,CODE_T7VO8,2021-06-18 02:32:57,6,9
8,Comment 8,Detailed text for comment 8,CODE_IPWCR,2025-01-14 12:24:52,61,71
9,Comment 9,Detailed text for comment 9,CODE_8P6HH,2024-09-22 17:02:03,88,14
10,Comment 10,Detailed text for comment 10,CODE_NRDEY,2020-12-03 13:42:07,38,9
11,Comment 11,Detailed text for comment 11,CODE_NHHHF,2024-01-06 02:04:02,72,20
12,Comment 12,Detailed text for comment 12,CODE_9UIIC,2024-01-04 10:30:00,45,31
13,Comment 13,Detailed text for comment 13,CODE_LUA2J,2024-06-22 14:33:17,82,44
14,Comment 14,Detailed text for comment 14,CODE_I19U9,2024-03-05 08:47:42,42,24
15,Comment 15,Detailed text for comment 15,CODE_SYNOK,2025-02-16 22:19:00,26,59
16,Comment 16,Detailed text for comment 16,CODE_QW0VM,2021-03-22 19:29:43,44,52
17,Comment 17,Detailed text for comment 17,CODE_QAGTV,2020-10-06 20:36:54,34,68
18,Comment 18,Detailed text for comment 18,CODE_WZPCF,2020-01-26 00:20:23,38,93
19,Comment 19,Detailed text for comment 19,CODE_0VFWW,2024-02-24 13:11:10,85,48
20,Comment 20,Detailed text for comment 20,CODE_6ZZK2,2023-07-08 11:53:21,11,98
21,Comment 21,Detailed text for comment 21,CODE_1O8RK,2021-02-09 02:04:41,93,27
22,Comment 22,Detailed text for comment 22,CODE_AWONA,2021-03-11 20:54:17,7,63
23,Comment 23,Detailed text for comment 23,CODE_5YRPO,2023-10-23 06:45:37,48,87
24,Comment 24,Detailed text for comment 24,CODE_367RJ,2020-01-01 09:35:53,19,51
25,Comment 25,Detailed text for comment 25,CODE_Q1BR6,2024-12-22 18:16:37,13,27
26,Comment 26,Detailed text for comment 26,CODE_MM0BW,2022-05-04 23:48:08,47,63
27,Comment 27,Detailed text for comment 27,CODE_0AE3T,2023-11-08 19:37:20,62,31
28,Comment 28,Detailed text for comment 28,CODE_1KMZ3,2024-12-29 18:42:22,19,83
29,Comment 29,Detailed text for comment 29,CODE_3L8M7,2022-01-19 02:39:16,72,49
30,Comment 30,Detailed text for comment 30,CODE_UB6BG,2022-08-25 10:16:29,48,61
31,Comment 31,Detailed text for comment 31,CODE_AD10O,2022-03-26 09:19:02,87,81
32,Comment 32,Detailed text for comment 32,CODE_48J8G,2023-12-03 02:12:55,75,80
33,Comment 33,Detailed text for comment 33,CODE_92ZUM,2020-09-20 12:35:21,1,46
34,Comment 34,Detailed text for comment 34,CODE_MJWVV,2023-11-19 04:07:55,81,77
35,Comment 35,Detailed text for comment 35,CODE_LM0B8,2025-05-06 16:36:18,86,56
36,Comment 36,Detailed text for comment 36,CODE_EJPPA,2023-10-17 06:25:03,45,12
37,Comment 37,Detailed text for comment 37,CODE_WEQ8K,2025-04-05 01:58:08,72,86
38,Comment 38,Detailed text for comment 38,CODE_B8G9H,2022-10-21 06:38:25,92,68
39,Comment 39,Detailed text for comment 39,CODE_ELWQ0,2023-04-06 02:42:03,30,13
40,Comment 40,Detailed text for comment 40,CODE_JMK2Z,2021-01-10 04:15:18,65,8
41,Comment 41,Detailed text for comment 41,CODE_FR5HA,2021-06-21 10:42:02,67,40
42,Comment 42,Detailed text for comment 42,CODE_RHGTK,2023-10-12 01:12:41,48,9
43,Comment 43,Detailed text for comment 43,CODE_51HWC,2025-06-07 22:40:54,81,20
44,Comment 44,Detailed text for comment 44,CODE_DHZDE,2020-11-14 04:12:31,62,71
45,Comment 45,Detailed text for comment 45,CODE_BOW9S,2023-10-14 17:55:20,91,84
46,Comment 46,Detailed text for comment 46,CODE_Y7NV4,2025-03-14 02:54:47,18,27
47,Comment 47,Detailed text for comment 47,CODE_5XSMF,2023-04-09 22:38:24,59,99
48,Comment 48,Detailed text for comment 48,CODE_X9B8W,2024-07-27 00:34:40,100,94
49,Comment 49,Detailed text for comment 49,CODE_2C30X,2022-03-15 10:44:55,44,39
50,Comment 50,Detailed text for comment 50,CODE_NBK7W,2023-04-11 12:56:15,88,89
51,Comment 51,Detailed text for comment 51,CODE_D4HJI,2022-11-06 16:42:38,33,38
52,Comment 52,Detailed text for comment 52,CODE_CIJRQ,2024-12-21 16:06:35,39,73
53,Comment 53,Detailed text for comment 53,CODE_NU6NM,2025-02-22 19:36:06,9,13
54,Comment 54,Detailed text for comment 54,CODE_5F5KG,2020-05-03 12:34:09,31,14
55,Comment 55,Detailed text for comment 55,CODE_PRWCU,2021-05-21 07:23:33,31,47
56,Comment 56,Detailed text for comment 56,CODE_3IOCT,2023-07-04 19:04:28,60,94
57,Comment 57,Detailed text for comment 57,CODE_M7JBV,2022-11-08 05:55:12,38,97
58,Comment 58,Detailed text for comment 58,CODE_6W6PF,2020-01-23 13:43:32,1,70
59,Comment 59,Detailed text for comment 59,CODE_UW3AN,2022-06-21 20:56:30,48,77
60,Comment 60,Detailed text for comment 60,CODE_PZSHE,2024-12-04 16:02:29,29,89
61,Comment 61,Detailed text for comment 61,CODE_45VVO,2023-10-15 16:53:24,37,45
62,Comment 62,Detailed text for comment 62,CODE_Y6NO8,2025-06-03 11:32:01,63,71
63,Comment 63,Detailed text for comment 63,CODE_8ZI05,2021-06-16 03:47:57,8,8
64,Comment 64,Detailed text for comment 64,CODE_1MVDT,2022-08-24 01:22:19,42,48
65,Comment 65,Detailed text for comment 65,CODE_UGPEG,2022-03-26 15:10:39,64,13
66,Comment 66,Detailed text for comment 66,CODE_SCML8,2023-09-12 03:02:49,42,34
67,Comment 67,Detailed text for comment 67,CODE_07UE5,2022-12-25 13:39:01,9,10
68,Comment 68,Detailed text for comment 68,CODE_W4N4K,2022-11-15 00:53:04,22,29
69,Comment 69,Detailed text for comment 69,CODE_4XTK4,2023-11-19 11:58:54,62,76
70,Comment 70,Detailed text for comment 70,CODE_RGGQP,2023-07-31 06:40:55,67,14
71,Comment 71,Detailed text for comment 71,CODE_BLCD8,2024-07-11 05:32:08,22,74
72,Comment 72,Detailed text for comment 72,CODE_1K07D,2020-02-21 04:17:36,35,97
73,Comment 73,Detailed text for comment 73,CODE_OGDY1,2025-06-13 13:00:28,65,61
74,Comment 74,Detailed text for comment 74,CODE_NRDYB,2024-07-06 05:28:31,61,90
75,Comment 75,Detailed text for comment 75,CODE_HBZ68,2022-01-03 21:17:17,16,72
76,Comment 76,Detailed text for comment 76,CODE_XQEF6,2022-07-03 06:35:17,6,5
77,Comment 77,Detailed text for comment 77,CODE_CEAZ5,2023-05-26 19:54:18,82,54
78,Comment 78,Detailed text for comment 78,CODE_MQWM9,2020-01-22 12:55:47,59,61
79,Comment 79,Detailed text for comment 79,CODE_U9BVP,2021-01-07 17:03:35,36,21
80,Comment 80,Detailed text for comment 80,CODE_UBW7W,2023-04-14 11:50:36,92,94
81,Comment 81,Detailed text for comment 81,CODE_949OL,2023-05-29 18:51:32,84,3
82,Comment 82,Detailed text for comment 82,CODE_3WSW6,2022-12-27 19:06:03,34,18
83,Comment 83,Detailed text for comment 83,CODE_1X5TA,2023-06-28 17:22:27,38,72
84,Comment 84,Detailed text for comment 84,CODE_2LBMV,2023-01-04 20:41:51,18,93
85,Comment 85,Detailed text for comment 85,CODE_RFOT7,2021-03-11 19:49:49,41,13
86,Comment 86,Detailed text for comment 86,CODE_7AXTQ,2023-05-09 00:10:44,90,90
87,Comment 87,Detailed text for comment 87,CODE_C3LLK,2023-02-24 09:07:55,72,75
88,Comment 88,Detailed text for comment 88,CODE_D5B4J,2024-09-21 12:14:57,69,77
89,Comment 89,Detailed text for comment 89,CODE_GH7DG,2023-10-02 00:44:27,76,4
90,Comment 90,Detailed text for comment 90,CODE_YWYGZ,2024-04-25 07:41:44,85,40
91,Comment 91,Detailed text for comment 91,CODE_4OJNP,2024-01-23 04:12:28,11,78
92,Comment 92,Detailed text for comment 92,CODE_9TYDP,2021-10-15 08:47:16,13,21
93,Comment 93,Detailed text for comment 93,CODE_2WUK3,2022-04-09 02:36:55,31,28
94,Comment 94,Detailed text for comment 94,CODE_KWUZF,2025-03-17 04:39:21,18,82
95,Comment 95,Detailed text for comment 95,CODE_X8NWE,2024-06-19 16:06:32,23,32
96,Comment 96,Detailed text for comment 96,CODE_6QYS0,2025-04-11 19:59:26,82,51
97,Comment 97,Detailed text for comment 97,CODE_ET1LS,2020-12-27 03:10:59,98,98
98,Comment 98,Detailed text for comment 98,CODE_PKXJX,2024-04-15 18:46:02,5,7
99,Comment 99,Detailed text for comment 99,CODE_VOEJX,2024-05-05 06:50:26,82,62
100,Comment 100,Detailed text for comment 100,CODE_L97J7,2020-04-02 21:26:50,91,45
